date,category,n_posts,mean_compound,bearish_share,bullish_share,neutral_share
2026-04-01,Econ Daily,24,-0.24440208333333335,0.4583333333333333,0.4583333333333333,0.08333333333333333
2026-04-01,Fed,2,-0.7248249999999999,0.5,0.5,0.0
2026-04-01,Growth,1,0.54,0.0,1.0,0.0
2026-04-01,Housing,2,0.29934999999999995,0.5,0.5,0.0
2026-04-01,Inflation,7,-0.5634,0.7142857142857143,0.0,0.2857142857142857
2026-04-01,Jobs & Economy,9,-0.055388888888888925,0.3333333333333333,0.6666666666666666,0.0
2026-04-01,Oil and energy,13,-0.21086538461538465,0.7692307692307693,0.15384615384615385,0.07692307692307693
2026-04-02,Econ Daily,23,-0.172354347826087,0.43478260869565216,0.4782608695652174,0.08695652173913043
2026-04-02,Fed,1,-0.6081,1.0,0.0,0.0
2026-04-02,GDP,1,0.38364999999999994,0.0,1.0,0.0
2026-04-02,Global Central Banks,1,0.6911,0.0,1.0,0.0
2026-04-02,Growth,4,-0.41466250000000004,0.75,0.25,0.0
2026-04-02,Inflation,10,-0.507055,0.7,0.2,0.1
2026-04-02,Jobs & Economy,9,-0.10082222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333
2026-04-02,Oil and energy,27,-0.4298592592592592,0.8148148148148148,0.14814814814814814,0.037037037037037035
2026-04-03,Econ Daily,15,-0.09676333333333335,0.4,0.4,0.2
2026-04-03,Fed,4,-0.07753750000000001,0.5,0.5,0.0
2026-04-03,GDP,3,0.27809999999999996,0.0,1.0,0.0
2026-04-03,Global Central Banks,2,-0.23157500000000003,1.0,0.0,0.0
2026-04-03,Growth,6,0.17306666666666662,0.16666666666666666,0.6666666666666666,0.16666666666666666
2026-04-03,Housing,1,0.39815,0.0,1.0,0.0
2026-04-03,Inflation,13,-0.30970384615384616,0.5384615384615384,0.46153846153846156,0.0
2026-04-03,Jobs & Economy,14,-0.2423321428571429,0.6428571428571429,0.21428571428571427,0.14285714285714285
2026-04-03,Oil and energy,10,-0.450755,0.6,0.4,0.0
2026-04-04,Econ Daily,9,-0.04808888888888891,0.2222222222222222,0.5555555555555556,0.2222222222222222
2026-04-04,Fed,4,-0.45482500000000003,0.75,0.25,0.0
2026-04-04,GDP,2,0.7053,0.0,1.0,0.0
2026-04-04,Growth,9,-0.47865,0.6666666666666666,0.3333333333333333,0.0
2026-04-04,Housing,3,-0.21400000000000005,0.6666666666666666,0.3333333333333333,0.0
2026-04-04,Inflation,3,-0.7685000000000001,1.0,0.0,0.0
2026-04-04,Jobs & Economy,11,0.22456363636363633,0.0,0.9090909090909091,0.09090909090909091
2026-04-04,Oil and energy,8,-0.35515625,0.75,0.25,0.0
2026-04-05,Econ Daily,18,-0.09358888888888892,0.5,0.5,0.0
2026-04-05,Fed,3,-0.5053333333333333,0.6666666666666666,0.3333333333333333,0.0
2026-04-05,Growth,4,0.5393749999999999,0.0,1.0,0.0
2026-04-05,Housing,1,-0.1507,1.0,0.0,0.0
2026-04-05,Inflation,10,-0.19961,0.5,0.3,0.2
2026-04-05,Jobs & Economy,1,-1.2779500000000001,1.0,0.0,0.0
2026-04-05,Oil and energy,7,-0.7075928571428571,0.7142857142857143,0.2857142857142857,0.0
2026-04-06,Econ Daily,22,-0.011284090909090933,0.36363636363636365,0.5,0.13636363636363635
2026-04-06,Fed,3,-0.5379166666666667,1.0,0.0,0.0
2026-04-06,GDP,1,0.0516,0.0,1.0,0.0
2026-04-06,Global Central Banks,3,0.09263333333333333,0.0,0.6666666666666666,0.3333333333333333
2026-04-06,Growth,5,-0.059940000000000035,0.2,0.6,0.2
2026-04-06,Inflation,18,-0.34455277777777776,0.6111111111111112,0.3888888888888889,0.0
2026-04-06,Jobs & Economy,8,0.05461875,0.375,0.375,0.25
2026-04-06,Oil and energy,18,-0.42518888888888884,0.7777777777777778,0.2222222222222222,0.0
2026-04-07,Econ Daily,24,0.02310208333333331,0.2916666666666667,0.625,0.08333333333333333
2026-04-07,Fed,1,-1.49055,1.0,0.0,0.0
2026-04-07,Growth,4,-0.29332500000000006,0.5,0.5,0.0
2026-04-07,Inflation,19,-0.2652473684210526,0.5263157894736842,0.42105263157894735,0.05263157894736842
2026-04-07,Jobs & Economy,1,0.29815,0.0,1.0,0.0
2026-04-07,Oil and energy,20,-0.1490575,0.5,0.4,0.1
2026-04-08,Econ Daily,29,-0.18791034482758623,0.4827586206896552,0.4827586206896552,0.034482758620689655
2026-04-08,Fed,6,0.34845,0.0,1.0,0.0
2026-04-08,GDP,1,0.5445,0.0,1.0,0.0
2026-04-08,Growth,5,-0.92757,0.8,0.2,0.0
2026-04-08,Inflation,17,-0.34496470588235295,0.5294117647058824,0.35294117647058826,0.11764705882352941
2026-04-08,Jobs & Economy,3,-0.24708333333333332,0.3333333333333333,0.0,0.6666666666666666
2026-04-08,Oil and energy,25,-0.12936200000000003,0.44,0.48,0.08
2026-04-09,Econ Daily,29,-0.06303103448275864,0.4827586206896552,0.5172413793103449,0.0
2026-04-09,Fed,5,0.30306,0.0,1.0,0.0
2026-04-09,Global Central Banks,1,-0.04965000000000003,0.0,0.0,1.0
2026-04-09,Growth,5,-0.21111000000000005,0.6,0.4,0.0
2026-04-09,Inflation,13,-0.5670961538461539,0.6153846153846154,0.23076923076923078,0.15384615384615385
2026-04-09,Jobs & Economy,6,-0.023566666666666663,0.3333333333333333,0.16666666666666666,0.5
2026-04-09,Oil and energy,17,-0.07093235294117646,0.29411764705882354,0.6470588235294118,0.058823529411764705
2026-04-10,Econ Daily,20,0.1944725,0.15,0.75,0.1
2026-04-10,Fed,12,-0.21865,0.6666666666666666,0.3333333333333333,0.0
2026-04-10,GDP,1,-0.038449999999999984,0.0,0.0,1.0
2026-04-10,Growth,3,-0.89325,0.6666666666666666,0.3333333333333333,0.0
2026-04-10,Housing,1,0.9244,0.0,1.0,0.0
2026-04-10,Inflation,42,-0.29329404761904765,0.5952380952380952,0.3333333333333333,0.07142857142857142
2026-04-10,Oil and energy,10,-0.04828,0.4,0.4,0.2
2026-04-11,Econ Daily,6,0.5456166666666666,0.0,1.0,0.0
2026-04-11,Fed,8,-0.1943125,0.5,0.5,0.0
2026-04-11,Growth,2,-0.9882500000000001,1.0,0.0,0.0
2026-04-11,Inflation,4,0.21284999999999998,0.25,0.75,0.0
2026-04-11,Jobs & Economy,1,-0.4019,1.0,0.0,0.0
2026-04-11,Oil and energy,6,-0.0862416666666667,0.5,0.5,0.0
2026-04-12,Econ Daily,15,-0.18114333333333338,0.5333333333333333,0.4666666666666667,0.0
